imdbID,content,date,director,leadActor,rotten_tomatoes_rating
0062994,"The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein.",19 Sep 1968,William Wyler,"Barbra Streisand, Omar Sharif, Kay Medford",94%
0053472,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",07 Feb 1961,Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger",96%
0083630,"A sword-and-sorcery fantasy about a young man's search for revenge. Armed with supernatural powers, the handsome hero and his animal allies wage war against marauding forces.",20 Aug 1982,Don Coscarelli,"Marc Singer, Tanya Roberts, Rip Torn",46%
0074899,A dramatization of the battle that was widely heralded as a turning point of the Pacific Theatre of World War II.,18 Jun 1976,Jack Smight,"Charlton Heston, Henry Fonda, James Coburn",47%
0076342,Biopic of General Douglas MacArthur covering his war exploits during WW2 and the Korean War.,15 Jul 1977,Joseph Sargent,"Gregory Peck, Dan O'Herlihy, Ed Flanders",50%
0090095,"On improvising a burglary at a shady tycoon's home, Fred takes refuge in the hip and surreal universe of the Paris Metro and encounters its assorted denizens, the tycoon's henchmen and his disenchanted young wife.",06 Nov 1985,Luc Besson,"Christopher Lambert, Isabelle Adjani, Richard Bohringer",67%
0035140,"A frumpy spinster blossoms under therapy and becomes an elegant, independent woman.",31 Oct 1942,Irving Rapper,"Bette Davis, Paul Henreid, Claude Rains",91%
0024264,A chronicle of the lives of sisters growing up in 19th-century New England.,24 Nov 1933,George Cukor,"Katharine Hepburn, Joan Bennett, Paul Lukas",89%
0077321,"San Francisco, 1940, detectives, dames, documents, Nazis, and a treasure.",23 Jun 1978,Robert Moore,"Peter Falk, Ann-Margret, Eileen Brennan",50%
0209037,"Jean is a family man and factory worker who dreams of becoming a songwriter. Pinning his hopes on his teenage daughter, Marva, he takes her to singing contests in which the awkward and overweight girl struggles to belt out a tune....",12 Apr 2000,Dominique Deruddere,"Josse De Pauw, Eva van der Gucht, Werner De Smedt",55%
0076299,A Sydney lawyer defends five Aboriginal Persons in a ritualized taboo murder and in the process learns disturbing things about himself and premonitions.,01 Jan 1979,Peter Weir,"Richard Chamberlain, Olivia Hamnett, David Gulpilil",82%
0075824,"Recounted in flashback are the romantic perils of Mathieu, a middle-aged French sophisticate as he falls for his nineteen-year-old former chambermaid Conchita.",08 Oct 1977,Luis Buñuel,"Fernando Rey, Carole Bouquet, Ángela Molina",97%
0084809,An underemployed reporter finds himself literally purchased as a toy for a rich spoiled brat.,10 Dec 1982,Richard Donner,"Richard Pryor, Jackie Gleason, Ned Beatty",3%
0080661,"A mysterious blonde woman kills one of a psychiatrist's patients, and then goes after the high-class call girl who witnessed the murder.",25 Jul 1980,Brian De Palma,"Michael Caine, Angie Dickinson, Nancy Allen",81%
0080716,A chronicle of the lives of several teenagers who attend a New York high school for students gifted in the performing arts.,16 May 1980,Alan Parker,"Eddie Barth, Irene Cara, Lee Curreri",82%
0080736,"A modern aircraft carrier is thrown back in time to 1941 near Hawaii, just hours before the Japanese attack on Pearl Harbor.",01 Aug 1980,Don Taylor,"Kirk Douglas, Martin Sheen, Katharine Ross",52%
0080745,A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,05 Dec 1980,Mike Hodges,"Sam J. Jones, Melody Anderson, Max von Sydow",83%
0052564,One of only two survivors from a Martian expedition is so traumatized she doesn't remember the circumstances of the trip.,23 Nov 1959,Ib Melchior,"Gerald Mohr, Nora Hayden, Les Tremayne",0%
0074483,"San Francisco Inspector ""Dirty"" Harry Callahan must foil a terrorist organization made up of disgruntled Vietnam veterans. But this time, he's teamed with female partner Inspector Kate Moore, with whom he's not too excited to be w...",22 Dec 1976,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino",69%
0082350,A SFPD undercover narcotics cop aims to avenge his partner's death and destroy a drug-smuggling ring operated by the Chinese Triads.,14 Aug 1981,Steve Carver,"Chuck Norris, Christopher Lee, Richard Roundtree",N/A
0076070,"A hard but mediocre cop is assigned to escort a prostitute into custody from Las Vegas to Phoenix, so that she can testify in a mob trial. But a lot of people are literally betting that they won't make it into town alive.",21 Dec 1977,Clint Eastwood,"Clint Eastwood, Sondra Locke, Pat Hingle",74%
0100054,"Stranded on an island, a group of schoolboys degenerate into savagery.",16 Mar 1990,Harry Hook,"Balthazar Getty, Chris Furrh, Danuel Pipoly",57%
0089622,"A trio of moronic aliens crash-land on Earth and become celebrities, while a fourth alien, who arrives separately, finds himself ignored.",20 Sep 1985,Mike Hodges,"Mel Smith, Griff Rhys Jones, Joanne Pearce",N/A
0076535,"In 1919, a British expedition in the Antarctica region is searching for a lost American explorer and finds a hidden prehistoric world instead.",17 Aug 1977,Kevin Connor,"Patrick Wayne, Doug McClure, Sarah Douglas",63%
0054135,Danny Ocean gathers a group of his World War II compatriots to pull off the ultimate Las Vegas heist. Together the eleven friends plan to rob five Las Vegas casinos in one night.,04 Aug 1960,Lewis Milestone,"Frank Sinatra, Dean Martin, Sammy Davis Jr.",48%
0081568,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",27 Jun 1980,Richard Rush,"Peter O'Toole, Steve Railsback, Barbara Hershey",90%
0086383,"A middle-aged rape victim is exacting revenge on her aggressors in a small town outside San Francisco. ""Dirty"" Harry Callahan, on suspension for angering his superiors (again), is assigned to the case.",09 Dec 1983,Clint Eastwood,"Clint Eastwood, Sondra Locke, Pat Hingle",57%
0159273,"A disillusioned pilot shot down over war-torn Bosnia is ensnared in the conflict in war-torn Bosnia. In the crosshairs of the enemy and an assassin, the spoiled pilot runs for his life as his commanding officer risks all to save him.",30 Nov 2001,John Moore,"Gene Hackman, Owen Wilson, Gabriel Macht",37%
